numero_clientes,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg,Throughput_medio,tempo_resposta_servidor
31,5,2.6709606647491446,0.08616002144352079,0.01723200428870412,62.50097234563688,0.011194015702893604
1,5,0.0139000415802001,0.0139000415802001,0.00278000831604,359.71115418260405,0.0013644695281982
2,5,0.14621782302856431,0.07310891151428216,0.0146217823028564,198.7494851710381,0.007369786500930751
3,5,0.23021554946899392,0.07673851648966463,0.0153477032979329,152.3414636639849,0.008505145708719833
4,5,0.3374557495117185,0.08436393737792962,0.0168727874755859,125.91217447576426,0.010282278060913025
5,5,0.43878316879272433,0.08775663375854487,0.01755132675170894,110.59873661118567,0.010416734218597361
6,5,0.5455362796783444,0.09092271327972407,0.018184542655944783,99.97178760583624,0.010457952817281034
7,5,0.6309494972229001,0.09013564246041429,0.01802712849208283,94.0528106859512,0.010214405400412371
8,5,0.7610795497894283,0.09513494372367853,0.019026988744735678,87.09909682833595,0.01142955571413035
9,5,0.8662097454071039,0.096245527267456,0.019249105453491167,82.70587219306498,0.0113645990689595
10,5,0.9907774925231928,0.09907774925231928,0.01981554985046382,78.44916506371496,0.011791580915451001
11,5,1.1149260997772212,0.10135691816156557,0.020271383632313074,74.97872406435822,0.012355018745769098
12,5,1.2364163398742671,0.10303469498952227,0.020606938997904407,72.1601278370216,0.012747416893641101
13,5,1.3609995841979976,0.10469227570753828,0.020938455141507606,69.6965647678775,0.013647712194002539
14,5,1.4805099964141841,0.10575071402958458,0.02115014280591687,67.70662148671421,0.014080950192042706
15,5,1.6002221107482906,0.10668147404988604,0.021336294809977157,65.97730454450013,0.014641972382863315
16,5,1.7227537631988517,0.10767211019992823,0.021534422039985603,64.40408443749757,0.015036419034004163
17,5,1.8366184234619134,0.10803637785070079,0.021607275570140114,63.19865481055458,0.015586856533499276
18,5,1.8849160671234124,0.10471755928463403,0.020943511856926764,65.43899172328976,0.01504142747984987
19,5,1.9367306232452388,0.10193319069711783,0.020386638139423523,67.07367531644239,0.01454793779473551
20,5,2.0059752464294425,0.10029876232147213,0.020059752464294388,67.33038017725706,0.014204984903335525
21,5,2.071276187896728,0.09863219942365371,0.019726439884730704,67.77029419141674,0.013814946015675813
22,5,2.126262187957763,0.09664828127080739,0.019329656254161443,68.82310978252646,0.01346540180119596
23,5,2.1954686641693106,0.09545515931170916,0.019091031862341793,68.97199952396726,0.013209104537963817
24,5,2.254130840301513,0.09392211834589637,0.018784423669179238,69.64957441025702,0.012835703790187787
25,5,2.31617784500122,0.0926471138000488,0.018529422760009726,70.08695412424498,0.012601120471954297
26,5,2.4107961654663077,0.09272292944101183,0.01854458588820233,69.42375930200866,0.012558485452945365
27,5,2.476020336151122,0.091704456894486,0.01834089137889716,69.6917199929212,0.012354162004258847
28,5,2.5440988540649405,0.09086067335946216,0.018172134671892392,69.82575167524831,0.012167004602295958
29,5,2.6103613376617423,0.09001245991937043,0.018002491983874044,70.0199491876827,0.012038226785330886
30,5,2.683685302734374,0.08945617675781246,0.01789123535156245,69.95896852990721,0.011974209547042798
31,5,2.762803316116332,0.08912268761665587,0.017824537523331137,69.7408319132875,0.011970337360135919
32,5,2.8411717414855944,0.08878661692142482,0.01775732338428493,69.5552185832085,0.01195222884416575
33,5,2.920814752578734,0.08850953795693134,0.01770190759138623,69.3499134050436,0.011914359800743282
34,5,2.9988262653350817,0.08820077250985535,0.01764015450197103,69.19530136360947,0.011850167723262958
35,5,3.1096000671386705,0.08884571620396202,0.017769143240792363,68.5079220746954,0.01197620970862247
36,5,3.2087731361389147,0.08913258711496985,0.017826517422993935,68.00539404715961,0.012079291873507978
37,5,3.3376834392547594,0.0902076605203989,0.018041532104079744,67.21569851194012,0.012216079879451391
38,5,3.423249483108519,0.09008551271338208,0.01801710254267638,66.9846115758352,0.012178192013188361
39,5,3.5173556804656965,0.09018860719142811,0.018037721438285588,66.62940265353667,0.01222730294252048
40,5,3.650826930999754,0.09127067327499386,0.018254134654998734,65.90019885891286,0.012381717562675424
41,5,3.7691440582275373,0.09193034288359847,0.018386068576719657,65.32359178103832,0.012467678000287263
42,5,3.876309394836424,0.09229308082943867,0.0184586161658877,64.87914620682707,0.012541177726927208
43,5,3.980475187301634,0.09256919040236358,0.01851383808047268,64.48661729121277,0.012502738209657843
44,5,4.08815550804138,0.09291262518275864,0.01858252503655169,64.07632462205336,0.012549394910985723
45,5,4.204580783843992,0.09343512852986649,0.018687025705973262,63.606761872788596,0.012552000416649663
46,5,4.305454492568968,0.09359683679497756,0.018719367358995476,63.301548123663096,0.012581610161325155
47,5,4.417052507400511,0.0939798405829896,0.01879596811659788,62.9079761287383,0.012715430969887542
48,5,4.507579088211058,0.09390789767106371,0.018781579534212705,62.74806821862856,0.012749813497066447
49,5,4.5545942783355695,0.09295090363950143,0.018590180727900245,63.63787514226523,0.01255914629722123
