numero_clientes,msgs_por_cliente,tempo_todos_clientes,tempo_por_cliente,tempo_medio_por_msg
90,5,8.174437284469601,0.09082708093855112,0.018165416187710184
91,5,5.87079286575317,0.06451420731596891,0.012902841463193742
92,5,5.558516263961788,0.060418655043062916,0.012083731008612542
93,5,7.233521223068234,0.07777979809750789,0.01555595961950153
94,5,6.838911294937129,0.07275437547805456,0.014550875095610873
95,5,7.666297912597653,0.08069787276418582,0.016139574552837127
96,5,8.960410118103024,0.0933376053969065,0.01866752107938126
97,5,8.619655847549435,0.08886243141803542,0.017772486283607034
98,5,7.928294181823726,0.08090096103901762,0.01618019220780349
99,5,8.042000770568844,0.08123233101584691,0.016246466203169344
100,5,8.869771718978878,0.08869771718978878,0.017739543437957715
