numero_clientes,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg
90,5,5.8948714733123735,0.06549857192569304,0.01309971438513857
91,5,7.377914428710934,0.08107598273308719,0.016215196546617402
92,5,7.049195051193234,0.07662168533905689,0.015324337067811339
93,5,6.182124853134152,0.06647446078638873,0.0132948921572777
94,5,6.778702974319454,0.07211386142893035,0.014422772285786034
95,5,6.9432327747344935,0.07308666078667887,0.014617332157335733
96,5,5.144918918609616,0.0535929054021835,0.010718581080436662
97,5,9.670636415481564,0.09969728263383056,0.019939456526766073
98,5,7.675045967102047,0.07831679558267395,0.01566335911653475
99,5,8.082907676696774,0.0816455320878462,0.016329106417569197
100,5,7.141628742218014,0.07141628742218015,0.014283257484435987
